case_id,province,city,group,infection_case,case,latitude,longitude,source,iso_a3
1000001,Seoul,Guro-gu,True,Guro-gu Call Center,96,37.508163,126.884387,kaggle,KOR
1000002,Seoul,Dongdaemun-gu,True,Dongan Church,20,37.592888,127.056766,kaggle,KOR
1000003,Seoul,Guro-gu,True,Manmin Central Church,20,37.481059,126.894343,kaggle,KOR
1000004,Seoul,Eunpyeong-gu,True,Eunpyeong St. Mary's Hospital,14,37.63369,126.9165,kaggle,KOR
1000005,Seoul,Seongdong-gu,True,Seongdong-gu APT,13,37.55713,127.0403,kaggle,KOR
1000006,Seoul,Jongno-gu,True,Jongno Community Center,10,37.57681,127.006,kaggle,KOR
1000007,Seoul,Jung-gu,True,Jung-gu Fashion Company,7,37.562405,126.984377,kaggle,KOR
1000008,Seoul,from other city,True,Shincheonji Church,6,-,-,kaggle,KOR
1000009,Seoul,-,False,overseas inflow,109,-,-,kaggle,KOR
1000010,Seoul,-,False,contact with patient,32,-,-,kaggle,KOR
1000011,Seoul,-,False,etc,33,-,-,kaggle,KOR
1100001,Busan,Dongnae-gu,True,Onchun Church,32,35.21628,129.0771,kaggle,KOR
1100002,Busan,from other city,True,Shincheonji Church,12,-,-,kaggle,KOR
1100003,Busan,Suyeong-gu,True,Suyeong-gu Kindergarten,5,35.16708,129.1124,kaggle,KOR
1100004,Busan,Haeundae-gu,True,Haeundae-gu Catholic Church,6,35.20599,129.1256,kaggle,KOR
1100005,Busan,Jin-gu,True,Jin-gu Academy,4,35.17371,129.0633,kaggle,KOR
1100006,Busan,from other city,True,Cheongdo Daenam Hospital,1,-,-,kaggle,KOR
1100007,Busan,-,False,overseas inflow,8,-,-,kaggle,KOR
1100008,Busan,-,False,contact with patient,18,-,-,kaggle,KOR
1100009,Busan,-,False,etc,30,-,-,kaggle,KOR
1200001,Daegu,Nam-gu,True,Shincheonji Church,4467,35.84008,128.5667,kaggle,KOR
1200002,Daegu,from other city,True,Cheongdo Daenam Hospital,2,-,-,kaggle,KOR
1200003,Daegu,-,False,overseas inflow,4,-,-,kaggle,KOR
1200004,Daegu,-,False,contact with patient,913,-,-,kaggle,KOR
1200005,Daegu,-,False,etc,749,-,-,kaggle,KOR
1300001,Gwangju,from other city,True,Shincheonji Church,9,-,-,kaggle,KOR
1300002,Gwangju,-,False,overseas inflow,5,-,-,kaggle,KOR
1300003,Gwangju,-,False,contact with patient,2,-,-,kaggle,KOR
1300004,Gwangju,-,False,etc,1,-,-,kaggle,KOR
1400001,Incheon,from other city,True,Guro-gu Call Center,20,-,-,kaggle,KOR
1400002,Incheon,-,False,Shincheonji Church,2,-,-,kaggle,KOR
1400003,Incheon,from other city,True,overseas inflow,19,-,-,kaggle,KOR
1400004,Incheon,-,False,contact with patient,3,-,-,kaggle,KOR
1400005,Incheon,-,False,etc,3,-,-,kaggle,KOR
1500001,Daejeon,Seo-gu,True,Korea Forest Engineer Institute,3,36.358123,127.388856,kaggle,KOR
1500002,Daejeon,from other city,True,Shincheonji Church,2,-,-,kaggle,KOR
1500003,Daejeon,from other city,True,Seosan-si Laboratory,2,-,-,kaggle,KOR
1500004,Daejeon,-,False,overseas inflow,4,-,-,kaggle,KOR
1500005,Daejeon,-,False,contact with patient,8,-,-,kaggle,KOR
1500006,Daejeon,-,False,etc,9,-,-,kaggle,KOR
1600001,Ulsan,from other city,True,Shincheonji Church,16,-,-,kaggle,KOR
1600002,Ulsan,-,False,overseas inflow,8,-,-,kaggle,KOR
1600003,Ulsan,-,False,contact with patient,4,-,-,kaggle,KOR
1600004,Ulsan,-,False,etc,7,-,-,kaggle,KOR
1700001,Sejong,Sejong,True,Ministry of Oceans and Fisheries,30,36.504713,127.265172,kaggle,KOR
