code,province,city,latitude,longitude,elementary_school_count,kindergarten_count,university_count,academy_ratio,elderly_population_ratio,elderly_alone_ratio,nursing_home_count,source,iso_a3
10000,Seoul,Seoul,37.566953000000005,126.977977,607,830,48,1.44,15.38,5.8,22739,kaggle,KOR
10010,Seoul,Gangnam-gu,37.518421000000004,127.04722199999999,33,38,0,4.18,13.17,4.3,3088,kaggle,KOR
10020,Seoul,Gangdong-gu,37.530491999999995,127.12383700000001,27,32,0,1.54,14.55,5.4,1023,kaggle,KOR
10030,Seoul,Gangbuk-gu,37.639938,127.025508,14,21,0,0.67,19.49,8.5,628,kaggle,KOR
10040,Seoul,Gangseo-gu,37.551165999999995,126.849506,36,56,1,1.17,14.39,5.7,1080,kaggle,KOR
10050,Seoul,Gwanak-gu,37.47829,126.951502,22,33,1,0.89,15.12,4.9,909,kaggle,KOR
10060,Seoul,Gwangjin-gu,37.538712,127.082366,22,33,3,1.16,13.75,4.8,723,kaggle,KOR
10070,Seoul,Guro-gu,37.495632,126.88765,26,34,3,1.0,16.21,5.7,741,kaggle,KOR
10080,Seoul,Geumcheon-gu,37.456852000000005,126.895229,18,19,0,0.96,16.15,6.7,475,kaggle,KOR
10090,Seoul,Nowon-gu,37.654259,127.056294,42,66,6,1.39,15.4,7.4,952,kaggle,KOR
10100,Seoul,Dobong-gu,37.668952000000004,127.047082,23,26,1,0.95,17.89,7.2,485,kaggle,KOR
10110,Seoul,Dongdaemun-gu,37.574552000000004,127.039721,21,31,4,1.06,17.26,6.7,832,kaggle,KOR
10120,Seoul,Dongjak-gu,37.510571,126.963604,21,34,3,1.17,15.85,5.2,762,kaggle,KOR
10130,Seoul,Mapo-gu,37.566283,126.90164399999999,22,24,2,1.83,14.05,4.9,929,kaggle,KOR
10140,Seoul,Seodaemun-gu,37.579428,126.936771,19,25,6,1.12,16.77,6.2,587,kaggle,KOR
10150,Seoul,Seocho-gu,37.483804,127.032693,24,27,1,2.6,13.39,3.8,1465,kaggle,KOR
10160,Seoul,Seongdong-gu,37.563277,127.036647,21,30,2,0.97,14.76,5.3,593,kaggle,KOR
10170,Seoul,Seongbuk-gu,37.589562,127.0167,29,49,6,1.02,16.15,6.0,729,kaggle,KOR
10180,Seoul,Songpa-gu,37.51462,127.106141,40,51,1,1.65,13.1,4.1,1527,kaggle,KOR
10190,Seoul,Yangcheon-gu,37.517189,126.86661799999999,30,43,0,2.26,13.55,5.5,816,kaggle,KOR
10200,Seoul,Yeongdeungpo-gu,37.526505,126.89618999999999,23,39,0,1.21,15.6,5.8,1001,kaggle,KOR
10210,Seoul,Yongsan-gu,37.532768,126.990021,15,13,1,0.68,16.87,6.5,435,kaggle,KOR
10220,Seoul,Eunpyeong-gu,37.603481,126.92917299999999,31,44,1,1.09,17.0,6.5,874,kaggle,KOR
10230,Seoul,Jongno-gu,37.572998999999996,126.97918899999999,13,17,3,1.71,18.27,6.8,668,kaggle,KOR
10240,Seoul,Jung-gu,37.563988,126.99753,12,14,2,0.94,18.42,7.4,728,kaggle,KOR
10250,Seoul,Jungnang-gu,37.606832,127.092656,23,31,1,0.7,16.65,6.9,689,kaggle,KOR
11000,Busan,Busan,35.179884,129.074796,304,408,22,1.4,18.41,8.6,6752,kaggle,KOR
11010,Busan,Gangseo-gu,35.212424,128.98068,17,21,0,1.43,11.84,5.0,147,kaggle,KOR
11020,Busan,Geumjeong-gu,35.243053,129.092163,22,28,4,1.64,19.8,8.4,466,kaggle,KOR
11030,Busan,Gijang-gun,35.244881,129.222253,21,35,0,1.31,15.45,7.4,229,kaggle,KOR
11040,Busan,Nam-gu,35.136789,129.08414,21,27,4,1.24,19.13,7.9,475,kaggle,KOR
11050,Busan,Dong-gu,35.129432,129.04554,7,9,0,0.83,25.42,13.8,239,kaggle,KOR
11060,Busan,Dongnae-gu,35.205059999999996,129.083673,22,31,0,1.98,17.53,7.7,608,kaggle,KOR
11070,Busan,Busanjin-gu,35.163332000000004,129.05305800000002,32,43,3,1.62,19.01,8.7,986,kaggle,KOR
11080,Busan,Buk-gu,35.197483,128.990224,27,37,1,1.35,16.04,8.4,465,kaggle,KOR
11090,Busan,Sasang-gu,35.152777,128.991142,21,31,3,0.78,17.0,8.1,317,kaggle,KOR
11100,Busan,Saha-gu,35.104642,128.97479199999998,26,42,2,1.34,17.76,8.1,541,kaggle,KOR
11110,Busan,Seo-gu,35.098135,129.024193,11,9,0,1.02,24.36,12.3,235,kaggle,KOR
11120,Busan,Suyeong-gu,35.145804999999996,129.113194,10,22,0,1.56,20.4,8.2,395,kaggle,KOR
11130,Busan,Yeonje-gu,35.176406,129.079566,16,18,2,1.39,18.27,7.8,450,kaggle,KOR
11140,Busan,Yeongdo-gu,35.091362,129.06788400000002,14,12,2,0.69,26.13,13.3,203,kaggle,KOR
11150,Busan,Jung-gu,35.106321,129.03225600000002,4,4,0,1.36,26.0,13.0,182,kaggle,KOR
