code,province,date,avg_temp,min_temp,max_temp,precipitation,max_wind_speed,most_wind_direction,avg_relative_humidity,source,iso_a3
10000,Seoul,2016-01-01,1.2,-3.3,4.0,0.0,3.5,90.0,73.0,kaggle,KOR
11000,Busan,2016-01-01,5.3,1.1,10.9,0.0,7.4,340.0,52.1,kaggle,KOR
12000,Daegu,2016-01-01,1.7,-4.0,8.0,0.0,3.7,270.0,70.5,kaggle,KOR
13000,Gwangju,2016-01-01,3.2,-1.5,8.1,0.0,2.7,230.0,73.1,kaggle,KOR
14000,Incheon,2016-01-01,3.1,-0.4,5.7,0.0,5.3,180.0,83.9,kaggle,KOR
15000,Daejeon,2016-01-01,1.6,-4.2,7.7,0.0,4.4,320.0,77.4,kaggle,KOR
16000,Ulsan,2016-01-01,4.0,-1.6,12.0,0.0,2.7,320.0,53.3,kaggle,KOR
20000,Gyeonggi-do,2016-01-01,1.6,-4.2,5.7,0.0,2.1,180.0,80.1,kaggle,KOR
30000,Gangwon-do,2016-01-01,5.1,2.1,8.9,0.0,9.6,290.0,33.0,kaggle,KOR
40000,Chungcheongbuk-do,2016-01-01,-1.0,-5.9,4.1,0.0,1.6,110.0,79.4,kaggle,KOR
41000,Chungcheongnam-do,2016-01-01,2.6,-4.4,7.5,0.0,4.6,180.0,86.3,kaggle,KOR
50000,Jeollabuk-do,2016-01-01,2.8,-2.0,7.7,0.0,2.7,140.0,74.4,kaggle,KOR
51000,Jeollanam-do,2016-01-01,4.5,0.6,8.7,0.0,6.9,320.0,54.5,kaggle,KOR
60000,Gyeongsangbuk-do,2016-01-01,3.5,-2.1,8.2,0.0,8.6,270.0,47.6,kaggle,KOR
61000,Gyeongsangnam-do,2016-01-01,2.5,-2.0,7.9,0.0,4.3,20.0,59.1,kaggle,KOR
70000,Jeju-do,2016-01-01,8.2,5.2,10.8,0.0,3.7,180.0,60.1,kaggle,KOR
10000,Seoul,2016-01-02,5.7,1.0,9.5,0.0,4.5,320.0,76.9,kaggle,KOR
11000,Busan,2016-01-02,8.1,4.6,12.2,0.0,7.2,270.0,62.9,kaggle,KOR
12000,Daegu,2016-01-02,3.0,-2.7,9.9,0.0,2.6,250.0,74.8,kaggle,KOR
13000,Gwangju,2016-01-02,6.5,1.3,12.7,0.0,1.5,270.0,78.6,kaggle,KOR
14000,Incheon,2016-01-02,7.4,4.0,11.1,0.0,4.5,180.0,93.1,kaggle,KOR
15000,Daejeon,2016-01-02,6.6,2.0,12.3,0.0,3.7,110.0,76.5,kaggle,KOR
16000,Ulsan,2016-01-02,5.6,0.3,14.2,0.0,2.8,290.0,61.0,kaggle,KOR
20000,Gyeonggi-do,2016-01-02,5.8,1.2,10.3,0.0,3.0,180.0,83.1,kaggle,KOR
30000,Gangwon-do,2016-01-02,9.1,5.5,11.2,0.0,9.5,320.0,43.8,kaggle,KOR
40000,Chungcheongbuk-do,2016-01-02,3.5,0.4,9.9,0.0,2.5,90.0,74.9,kaggle,KOR
41000,Chungcheongnam-do,2016-01-02,6.5,3.6,10.6,0.0,5.4,180.0,91.4,kaggle,KOR
50000,Jeollabuk-do,2016-01-02,7.6,2.7,12.9,0.0,4.4,140.0,73.3,kaggle,KOR
51000,Jeollanam-do,2016-01-02,7.1,3.9,11.3,0.0,9.2,230.0,63.8,kaggle,KOR
60000,Gyeongsangbuk-do,2016-01-02,7.5,2.7,12.6,0.0,8.5,250.0,50.5,kaggle,KOR
61000,Gyeongsangnam-do,2016-01-02,4.3,-0.1,9.4,0.0,2.3,360.0,67.6,kaggle,KOR
70000,Jeju-do,2016-01-02,12.5,7.8,16.8,0.0,4.1,160.0,62.6,kaggle,KOR
10000,Seoul,2016-01-03,6.5,5.1,9.4,0.0,4.0,320.0,80.6,kaggle,KOR
11000,Busan,2016-01-03,11.4,7.9,16.6,0.0,5.5,270.0,68.3,kaggle,KOR
