date,county,state,fips,case,death,state_iso_a2,longitude,latitude,source,iso_a3
2020-01-21,Snohomish,Washington,53061.0,1,0,WA,-120.74013899999999,47.751073999999996,nyt,USA
2020-01-22,Snohomish,Washington,53061.0,1,0,WA,-120.74013899999999,47.751073999999996,nyt,USA
2020-01-23,Snohomish,Washington,53061.0,1,0,WA,-120.74013899999999,47.751073999999996,nyt,USA
2020-01-24,Cook,Illinois,17031.0,1,0,IL,-89.398528,40.633125,nyt,USA
2020-01-24,Snohomish,Washington,53061.0,1,0,WA,-120.74013899999999,47.751073999999996,nyt,USA
2020-01-25,Orange,California,6059.0,1,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-01-25,Cook,Illinois,17031.0,1,0,IL,-89.398528,40.633125,nyt,USA
2020-01-25,Snohomish,Washington,53061.0,1,0,WA,-120.74013899999999,47.751073999999996,nyt,USA
2020-01-26,Maricopa,Arizona,4013.0,1,0,AZ,-111.093731,34.048928000000004,nyt,USA
2020-01-26,Los Angeles,California,6037.0,1,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-01-26,Orange,California,6059.0,1,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-01-26,Cook,Illinois,17031.0,1,0,IL,-89.398528,40.633125,nyt,USA
2020-01-26,Snohomish,Washington,53061.0,1,0,WA,-120.74013899999999,47.751073999999996,nyt,USA
2020-01-27,Maricopa,Arizona,4013.0,1,0,AZ,-111.093731,34.048928000000004,nyt,USA
2020-01-27,Los Angeles,California,6037.0,1,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-01-27,Orange,California,6059.0,1,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-01-27,Cook,Illinois,17031.0,1,0,IL,-89.398528,40.633125,nyt,USA
2020-01-27,Snohomish,Washington,53061.0,1,0,WA,-120.74013899999999,47.751073999999996,nyt,USA
2020-01-28,Maricopa,Arizona,4013.0,1,0,AZ,-111.093731,34.048928000000004,nyt,USA
2020-01-28,Los Angeles,California,6037.0,1,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-01-28,Orange,California,6059.0,1,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-01-28,Cook,Illinois,17031.0,1,0,IL,-89.398528,40.633125,nyt,USA
2020-01-28,Snohomish,Washington,53061.0,1,0,WA,-120.74013899999999,47.751073999999996,nyt,USA
2020-01-29,Maricopa,Arizona,4013.0,1,0,AZ,-111.093731,34.048928000000004,nyt,USA
2020-01-29,Los Angeles,California,6037.0,1,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-01-29,Orange,California,6059.0,1,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-01-29,Cook,Illinois,17031.0,1,0,IL,-89.398528,40.633125,nyt,USA
2020-01-29,Snohomish,Washington,53061.0,1,0,WA,-120.74013899999999,47.751073999999996,nyt,USA
2020-01-30,Maricopa,Arizona,4013.0,1,0,AZ,-111.093731,34.048928000000004,nyt,USA
2020-01-30,Los Angeles,California,6037.0,1,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-01-30,Orange,California,6059.0,1,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-01-30,Cook,Illinois,17031.0,2,0,IL,-89.398528,40.633125,nyt,USA
2020-01-30,Snohomish,Washington,53061.0,1,0,WA,-120.74013899999999,47.751073999999996,nyt,USA
2020-01-31,Maricopa,Arizona,4013.0,1,0,AZ,-111.093731,34.048928000000004,nyt,USA
2020-01-31,Los Angeles,California,6037.0,1,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-01-31,Orange,California,6059.0,1,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-01-31,Santa Clara,California,6085.0,1,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-01-31,Cook,Illinois,17031.0,2,0,IL,-89.398528,40.633125,nyt,USA
2020-01-31,Snohomish,Washington,53061.0,1,0,WA,-120.74013899999999,47.751073999999996,nyt,USA
2020-02-01,Maricopa,Arizona,4013.0,1,0,AZ,-111.093731,34.048928000000004,nyt,USA
2020-02-01,Los Angeles,California,6037.0,1,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-02-01,Orange,California,6059.0,1,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-02-01,Santa Clara,California,6085.0,1,0,CA,-119.41793200000001,36.778261,nyt,USA
2020-02-01,Cook,Illinois,17031.0,2,0,IL,-89.398528,40.633125,nyt,USA
